type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
PV1,2024-09-13T10:30:00+02:00,2024-09-13T15:30:00+02:00,2024-09-13 10:30:00,2024-09-13 15:30:00,11,5.5,1
PV1,2024-09-14T10:30:00+02:00,2024-09-14T15:30:00+02:00,2024-09-14 10:30:00,2024-09-14 15:30:00,11,5.5,1
PV1,2024-09-15T10:00:00+02:00,2024-09-15T15:30:00+02:00,2024-09-15 10:00:00,2024-09-15 15:30:00,12,6.0,1
PV1,2024-09-16T11:00:00+02:00,2024-09-16T15:30:00+02:00,2024-09-16 11:00:00,2024-09-16 15:30:00,10,5.0,1
PV1,2024-09-17T11:30:00+02:00,2024-09-17T15:30:00+02:00,2024-09-17 11:30:00,2024-09-17 15:30:00,9,4.5,1
PV1,2024-09-18T11:00:00+02:00,2024-09-18T15:30:00+02:00,2024-09-18 11:00:00,2024-09-18 15:30:00,10,5.0,1
PV1,2024-09-19T10:30:00+02:00,2024-09-19T15:30:00+02:00,2024-09-19 10:30:00,2024-09-19 15:30:00,11,5.5,1
PV1,2024-09-20T11:00:00+02:00,2024-09-20T15:30:00+02:00,2024-09-20 11:00:00,2024-09-20 15:30:00,10,5.0,1
PV1,2024-09-21T11:30:00+02:00,2024-09-21T13:00:00+02:00,2024-09-21 11:30:00,2024-09-21 13:00:00,4,2.0,1
PV1,2024-09-23T12:30:00+02:00,2024-09-23T15:00:00+02:00,2024-09-23 12:30:00,2024-09-23 15:00:00,6,3.0,1
PV1,2024-09-28T11:00:00+02:00,2024-09-28T15:30:00+02:00,2024-09-28 11:00:00,2024-09-28 15:30:00,10,5.0,1
PV1,2024-09-29T11:00:00+02:00,2024-09-29T11:30:00+02:00,2024-09-29 11:00:00,2024-09-29 11:30:00,2,1.0,1
PV1,2024-09-29T15:30:00+02:00,2024-09-29T15:30:00+02:00,2024-09-29 15:30:00,2024-09-29 15:30:00,1,0.5,1
PV1,2024-09-30T12:30:00+02:00,2024-09-30T14:30:00+02:00,2024-09-30 12:30:00,2024-09-30 14:30:00,5,2.5,1
W1,2024-01-01T00:00:00+01:00,2024-01-01T05:30:00+01:00,2024-01-01 00:00:00,2024-01-01 05:30:00,12,6.0,1
W1,2024-01-01T22:00:00+01:00,2024-01-02T05:30:00+01:00,2024-01-01 22:00:00,2024-01-02 05:30:00,16,8.0,2
W1,2024-01-02T22:00:00+01:00,2024-01-03T05:30:00+01:00,2024-01-02 22:00:00,2024-01-03 05:30:00,16,8.0,2
W1,2024-01-03T22:00:00+01:00,2024-01-04T05:30:00+01:00,2024-01-03 22:00:00,2024-01-04 05:30:00,16,8.0,2
W1,2024-01-04T22:00:00+01:00,2024-01-05T05:30:00+01:00,2024-01-04 22:00:00,2024-01-05 05:30:00,16,8.0,2
W1,2024-01-06T18:30:00+01:00,2024-01-06T21:30:00+01:00,2024-01-06 18:30:00,2024-01-06 21:30:00,7,3.5,1
W1,2024-01-07T12:30:00+01:00,2024-01-08T05:30:00+01:00,2024-01-07 12:30:00,2024-01-08 05:30:00,35,17.5,2
W1,2024-01-11T22:00:00+01:00,2024-01-11T22:00:00+01:00,2024-01-11 22:00:00,2024-01-11 22:00:00,1,0.5,1
